mmdd,new_file,new_title,old_file,old_title,match
0831,0831.json,Rhythm — Metric structure,08-31-RHYTHM-rhythm-metric-structure.json,Rhythm — Metric structure,identical
0901,0901.json,Renewal theory — Interpretation,09-01-RENEWAL-renewal-theory-interpretation.json,Renewal theory — Interpretation,identical
0902,0902.json,Retrieval-augmented generation — Challenges,09-02-INFO-retrieval-augmented-generation-challenges.json,Retrieval-augmented generation — Challenges,identical
0903,0903.json,Neo-noir — Overview,09-03-NOIR-neo-noir-overview.json,Neo-noir — Overview,identical
0904,0904.json,Who Dares Wins,0904.json,Who Dares Wins,identical
0905,0905.json,General knowledge,09-05-GK--general-knowledge.json,General knowledge,identical
0906,0906.json,UK households bin 168m Christmas lights and ‘fast tech’ items a year — The Guardian,09-06-HUMAN-BRAIN-uk-households-bin-168m-christmas-lights-and-fast-tech-items-a-year-the-guardian.json,UK households bin 168m Christmas lights and ‘fast tech’ items a year — The Guardian,identical
0907,0907.json,Finding Father Christmas review – Lenny Rush and James Buckley's chemistry is just wonderful,,,
0908,0908.json,A Tale of Two Cities by Charles Dickens,,,
0909,0909.json,The Law of Compensation by Ralph Waldo Emerson,,,
0910,0910.json,Sharing some truth (How to Write One Song • By Jeff Tweedy),,,
0911,0911.json,"Humans think — AI, not so much",,,
0912,0912.json,Baby brains,,,
0913,0913.json,"Thanks, Nikola",,,
0914,0914.json,Rhythm — Rhythm–tempo interaction,,,
0915,0915.json,Exploring Kashmir,09-15_Exploring_Kashmir.json,Exploring Kashmir,identical
0916,0916.json,Delusion at the Gastropub,09-16_Delusion_at_the_Gastropub.json,Delusion at the Gastropub,identical
0917,0917.json,What makes Hill Country so prone to flooding?,09-17_What_makes_Hill_Country_so_prone_to_flooding.json,What makes Hill Country so prone to flooding?,identical
0918,0918.json,"Periwinkle, the Color of Poison, Modernism, and Dusk",09-18-COLORS-periwinkle-the-color-of-poison-modernism-and-dusk.json,"Periwinkle, the Color of Poison, Modernism, and Dusk",identical
0919,0919.json,Iran Wants to Talk,09-19-NEGOTIATION-iran-wants-to-talk.json,Iran Wants to Talk,identical
0920,0920.json,Need a Father's Day Gift?,09-20-COOL-GADGETS-need-a-fathers-day-gift.json,Need a Father's Day Gift?,identical
0921,0921.json,The Former Prince Andrew Never Should Have Forwarded Those Emails,09-21-HOBBIES-the-former-prince-andrew-never-should-have-forwarded-those-emails.json,The Former Prince Andrew Never Should Have Forwarded Those Emails,identical
0922,0922.json,A writers guide to just getting on with it,09-22-WRITING-a-writers-guide-to-just-getting-on-with-it.json,A writers guide to just getting on with it,identical
0923,0923.json,China in Ten Words,09-23-FOLKLORE-china-in-ten-words.json,China in Ten Words,identical
0924,0924.json,Outside Magazine - The Kingdom of the Lotus,0924.json,Outside Magazine - The Kingdom of the Lotus,identical
0925,0925.json,Jazz — Syncopation,09-25-JAZZ-MUSIC-jazz-syncopation.json,Jazz — Syncopation,identical
0926,0926.json,Robot — Indian automata,09-26-ROBOTICS-robot-indian-automata.json,Robot — Indian automata,identical
0927,0927.json,Lyric poetry — 18th century,09-27-LYRICAL-lyric-poetry-18th-century.json,Lyric poetry — 18th century,identical
0928,0928.json,A Tale of Two Cities,09-28-tale-of-two-cities.json,A Tale of Two Cities,identical
0929,0929.json,Wingspan (board game) — Overview,09-29-BOARD-GAMES-wingspan-board-game-overview.json,Wingspan (board game) — Overview,identical
0930,0930.json,Miracle on Ice — NHL careers,09-30-MIRACLE-miracle-on-ice-nhl-careers.json,Miracle on Ice — NHL careers,identical
1001,1001.json,Urban renewal — United States,10-01-RENEWAL-urban-renewal-united-states.json,Urban renewal — United States,identical
1002,1002.json,Common knowledge — Examples,10-02-INFO-common-knowledge-examples.json,Common knowledge — Examples,identical
1003,1003.json,Spider-Noir — Marketing,10-03-NOIR-spider-noir-marketing.json,Spider-Noir — Marketing,identical
1004,1004.json,Pizzagate conspiracy theory — Turkish press reports,10-04-CONSPIRACY-pizzagate-conspiracy-theory-turkish-press-reports.json,Pizzagate conspiracy theory — Turkish press reports,identical
1005,1005.json,Essential oil — History,10-05-GK--essential-oil-history.json,Essential oil — History,identical
1006,1006.json,‘Zombie’ electricity projects in Britain face axe to ease quicker grid connections — The Guardian,10-06-HUMAN-BRAIN-zombie-electricity-projects-in-britain-face-axe-to-ease-quicker-grid-connections-the-guardian.json,‘Zombie’ electricity projects in Britain face axe to ease quicker grid connections — The Guardian,identical
1007,1007.json,Environmental groups sue Trump's EPA over repeal of landmark climate finding,,,
1008,1008.json,Fear and Loathing in Las Vegas by Hunter S. Thompson (1971),,,
1009,1009.json,Television documentary — Pre-1900,,,
1010,1010.json,One Hundred Years of Solitude by Gabriel García Márquez (1967),,,
1011,1011.json,Human intelligence vs AI,,,
1012,1012.json,Pollution and Mistakes,,,
1013,1013.json,Nikola Tesla Goes Viral,,,
1014,1014.json,Anna Karenina by Leo Tolstoy (1878),,,
1015,1015.json,An Indian City Bursting With Action,10-15_An_Indian_City_Bursting_With_Action.json,An Indian City Bursting With Action,identical
1016,1016.json,The Noma Way,10-16_The_Noma_Way.json,The Noma Way,identical
1017,1017.json,A modern mathematical method for calculating centers of geography,10-17_A_modern_mathematical_method_for_calculating_centers_of_geography.json,A modern mathematical method for calculating centers of geography,identical
1018,1018.json,Juvenile Impulse,10-18-COLORS-juvenile-impulse.json,Juvenile Impulse,identical
1019,1019.json,Women Know When Negotiating Isn't Worth It,10-19-NEGOTIATION-women-know-when-negotiating-isnt-worth-it.json,Women Know When Negotiating Isn't Worth It,identical
1020,1020.json,I rescued a panini press,10-20-COOL-GADGETS-i-rescued-a-panini-press.json,I rescued a panini press,identical
1021,1021.json,Sunday mornings coming down,10-21-HOBBIES-sunday-mornings-coming-down.json,Sunday mornings coming down,identical
1022,1022.json,Neglecting to Read,10-22-WRITING-neglecting-to-read.json,Neglecting to Read,identical
1023,1023.json,The Character Remains,10-23-FOLKLORE-the-character-remains.json,The Character Remains,identical
1024,1024.json,History of India — Vedic period (c. 1500 – 600 BCE),10-24-ANCIENT-INDIA-history-of-india-vedic-period-c-1500-600-bce.json,History of India — Vedic period (c. 1500 – 600 BCE),identical
1025,1025.json,Jazz — Social media,10-25-JAZZ-MUSIC-jazz-social-media.json,Jazz — Social media,identical
1026,1026.json,Robot — Contemporary art and sculpture,10-26-ROBOTICS-robot-contemporary-art-and-sculpture.json,Robot — Contemporary art and sculpture,identical
1027,1027.json,Petrarch — Later years,10-27-LYRICAL-petrarch-later-years.json,Petrarch — Later years,identical
1028,1028.json,Destiny 2 — Fate Saga (2025–present),10-28-DESTINY-destiny-2-fate-saga-2025present.json,Destiny 2 — Fate Saga (2025–present),identical
1029,1029.json,Daryl Hannah — Overview,10-29-BOARD-GAMES-daryl-hannah-overview.json,Daryl Hannah — Overview,identical
1030,1030.json,Miracle on Ice — Gold medal,10-30-MIRACLE-miracle-on-ice-gold-medal.json,Miracle on Ice — Gold medal,identical
1031,1031.json,Rhythm — Tempo and duration,10-31-RHYTHM-rhythm-tempo-and-duration.json,Rhythm — Tempo and duration,identical
1101,1101.json,JD Vance — Munich Security Conference,11-01-RENEWAL-jd-vance-munich-security-conference.json,JD Vance — Munich Security Conference,identical
1102,1102.json,Knowledge economy,11-02-INFO-knowledge-economy.json,Knowledge economy,identical
1103,1103.json,Marvel Noir — X-Men Noir: Mark of Cain,11-03-NOIR-marvel-noir-x-men-noir-mark-of-cain.json,Marvel Noir — X-Men Noir: Mark of Cain,identical
1104,1104.json,LIKE BUTTERFLIES IN THE JUNGLE,1104.json,LIKE BUTTERFLIES IN THE JUNGLE,identical
1105,1105.json,Never Alone,1105.json,Never Alone,identical
1106,1106.json,Trump officials halt offshore wind-farm projects over ‘national security risks’ — The Guardian,11-06-HUMAN-BRAIN-trump-officials-halt-offshore-wind-farm-projects-over-national-security-risks-the-guardian.json,Trump officials halt offshore wind-farm projects over ‘national security risks’ — The Guardian,identical
1107,1107.json,Cancer Detectives: Finding the Cures review – this vaccine documentary is so inspirational it'll make you weep,11-07-RHYTHM-rhythm-rhythmtempo-interaction.json,Rhythm — Rhythm–tempo interaction,different
1108,1108.json,Frederick Douglass's Fourth of July Speech ClueChain,,,
1109,1109.json,Documentary editing — Print volumes,,,
1110,1110.json,Paradise by Toni Morrison (1997),,,
1111,1111.json,The average human brain size is growing,,,
1112,1112.json,Harm from Pollution,,,
1113,1113.json,Who invented the Internet?,,,
1114,1114.json,Who invented the iPad?,,,
1115,1115.json,"The mist, mystery, and mountains of Sikkim",11-15_The_mist_mystery_and_mountains_of_Sikkim.json,"The mist, mystery, and mountains of Sikkim",identical
1116,1116.json,The Noma Way Part2,11-16_The_Noma_Way_Part2.json,The Noma Way Part2,identical
1117,1117.json,Heading right back to Tristan,1117.json,Heading right back to Tristan,identical
1118,1118.json,Unreal City,11-18-COLORS-unreal-city.json,Unreal City,identical
1119,1119.json,How a Negotiation Expert Would Bargain With a Kid,11-19-NEGOTIATION-how-a-negotiation-expert-would-bargain-with-a-kid.json,How a Negotiation Expert Would Bargain With a Kid,identical
1120,1120.json,Acknowleding Chernobyl,1120.json,Acknowleding Chernobyl,identical
1121,1121.json,Across and down with a word wrangler,11-21-HOBBIES-across-and-down-with-a-word-wrangler.json,Across and down with a word wrangler,identical
1122,1122.json,Cal Newport on Writing Productivity,11-22-WRITING-cal-newport-on-writing-productivity.json,Cal Newport on Writing Productivity,identical
1123,1123.json,The Second Coming,11-23-FOLKLORE-the-second-coming.json,The Second Coming,identical
1124,1124.json,History of India — Gurjara-Pratihara Empire,11-24-ANCIENT-INDIA-history-of-india-gurjara-pratihara-empire.json,History of India — Gurjara-Pratihara Empire,identical
1125,1125.json,My Baby in Mongolia,1125.json,My Baby in Mongolia,identical
1126,1126.json,Robot — Swarm robots,11-26-ROBOTICS-robot-swarm-robots.json,Robot — Swarm robots,identical
1127,1127.json,Judah Halevi — Riddles,11-27-LYRICAL-judah-halevi-riddles.json,Judah Halevi — Riddles,identical
1128,1128.json,Manifest destiny — Spanish–American War,11-28-DESTINY-manifest-destiny-spanishamerican-war.json,Manifest destiny — Spanish–American War,identical
1129,1129.json,Arcs (board game) — Overview,11-29-BOARD-GAMES-arcs-board-game-overview.json,Arcs (board game) — Overview,identical
1130,1130.json,Science explains why our brains aren’t just fancy computers,11-30-old_0811.json,Science explains why our brains aren’t just fancy computers,identical
1201,1201.json,Urban renewal — Loss or change of character,12-01-RENEWAL-urban-renewal-loss-or-change-of-character.json,Urban renewal — Loss or change of character,identical
1202,1202.json,Knowledge base,12-02-INFO-knowledge-base.json,Knowledge base,identical
1203,1203.json,Finding Harmony: A King’s Vision review – some of Charles’s ideas are strangely trippy,12-03-old_0807.json,Finding Harmony: A King’s Vision review – some of Charles’s ideas are strangely trippy,identical
1204,1204.json,Mongolia Part 2,1204.json,Mongolia Part 2,identical
1205,1205.json,Aromaticity — Etymology,12-05-GK--aromaticity-etymology.json,Aromaticity — Etymology,identical
1206,1206.json,Trump administration freezes $2.1bn in funds for Chicago transit projects — The Guardian,12-06-HUMAN-BRAIN-trump-administration-freezes-21bn-in-funds-for-chicago-transit-projects-the-guardian.json,Trump administration freezes $2.1bn in funds for Chicago transit projects — The Guardian,identical
1207,1207.json,What happens to the human body in 49C heat? Australians are finding out,,,
1208,1208.json,"Young Creators Are Burning Out and Breaking Down (by Taylor Lorenz, The New York Times)",,,
1209,1209.json,Frederick Douglass's Fourth of July Speech ClueChain,12-09-07-05.json,Frederick Douglass's Fourth of July Speech ClueChain,identical
1210,1210.json,Damage Control,1210.json,Damage Control,identical
1211,1211.json,Bigger and Healthier Brains,,,
1212,1212.json,Hebbian Theory,,,
1213,1213.json,A Passive Exerciser,,,
1214,1214.json,The Myth of the Lone Inventor,,,
1215,1215.json,Written in the wind,12-15_Written_in_the_wind.json,Written in the wind,identical
1216,1216.json,French Food: The Iconic Dishes,12-16_French_Food_The_Iconic_Dishes.json,French Food: The Iconic Dishes,identical
1217,1217.json,Is Apple maps getting ready to tackle public transport?,12-17_Is_Apple_maps_getting_ready_to_tackle_public_transport.json,Is Apple maps getting ready to tackle public transport?,identical
1218,1218.json,Natural Justice,12-18-COLORS-natural-justice.json,Natural Justice,identical
1219,1219.json,The Patient war,12-19-NEGOTIATION-the-patient-war.json,The Patient war,identical
1220,1220.json,Protect your hearing,12-20-COOL-GADGETS-protect-your-hearing.json,Protect your hearing,identical
1221,1221.json,Tips and Tricks From a Crossword Prodigy,12-21-HOBBIES-tips-and-tricks-from-a-crossword-prodigy.json,Tips and Tricks From a Crossword Prodigy,identical
1222,1222.json,Writing and the Creative Life,12-22-WRITING-writing-and-the-creative-life.json,Writing and the Creative Life,identical
1223,1223.json,What the Germans Left Behind,12-23-FOLKLORE-what-the-germans-left-behind.json,What the Germans Left Behind,identical
1224,1224.json,Shuffleboard at McMurdo,1224.json,Shuffleboard at McMurdo,identical
1225,1225.json,"Chardon, Ohio School Shooting",1225.json,"Chardon, Ohio School Shooting",identical
1226,1226.json,Robot — Home automation for the elderly and disabled,12-26-ROBOTICS-robot-home-automation-for-the-elderly-and-disabled.json,Robot — Home automation for the elderly and disabled,identical
1227,1227.json,Petrarch — Works,12-27-LYRICAL-petrarch-works.json,Petrarch — Works,identical
1228,1228.json,On Loving Birds,1228.json,On Loving Birds,identical
1229,1229.json,Anomia (game) — Design,12-29-BOARD-GAMES-anomia-game-design.json,Anomia (game) — Design,identical
1230,1230.json,Moby Dick (1851),12-30-ishmael.json,Moby Dick (1851),identical
1231,1231.json,Rhythm — Linguistics,12-31-RHYTHM-rhythm-linguistics.json,Rhythm — Linguistics,identical
